x,y,w,h,aspect_ratio,ground_truth,predicted
140,67,54,54,1.0,right,center
142,69,54,54,1.0,right,center
112,197,43,43,1.0,center,center
57,71,50,50,1.0,left,right
137,66,54,54,1.0,right,center
50,69,49,49,1.0,left,center
139,66,54,54,1.0,right,center
53,68,50,50,1.0,left,center
139,67,54,54,1.0,right,center
53,69,49,49,1.0,left,center
51,68,50,50,1.0,left,right
137,66,54,54,1.0,right,center
142,70,53,53,1.0,right,center
56,71,51,51,1.0,left,center
140,69,52,52,1.0,right,center
53,68,52,52,1.0,left,center
57,70,52,52,1.0,left,center
145,71,53,53,1.0,right,center
142,69,53,53,1.0,right,center
54,68,52,52,1.0,left,center
54,68,49,49,1.0,left,center
138,67,53,53,1.0,right,center
57,70,51,51,1.0,left,right
145,70,52,52,1.0,right,center
141,68,53,53,1.0,right,center
55,69,51,51,1.0,left,right
143,71,52,52,1.0,right,center
57,71,50,50,1.0,left,right
53,69,49,49,1.0,left,center
140,67,52,52,1.0,right,center
138,66,54,54,1.0,right,center
50,67,50,50,1.0,left,center
51,66,52,52,1.0,left,right
139,67,53,53,1.0,right,center
52,66,51,51,1.0,left,right
140,66,53,53,1.0,right,center
57,73,47,47,1.0,left,center
144,71,54,54,1.0,right,center
56,72,51,51,1.0,left,center
142,69,56,56,1.0,right,center
136,65,54,54,1.0,right,center
50,66,50,50,1.0,left,center
139,67,53,53,1.0,right,center
50,67,52,52,1.0,left,right
52,66,51,51,1.0,left,center
140,66,53,53,1.0,right,center
48,66,49,49,1.0,left,center
137,64,53,53,1.0,right,center
53,69,50,50,1.0,left,center
140,67,55,55,1.0,right,center
137,65,53,53,1.0,right,center
49,65,52,52,1.0,left,center
136,65,53,53,1.0,right,center
49,66,51,51,1.0,left,center
49,66,50,50,1.0,left,center
136,64,53,53,1.0,right,center
137,66,55,55,1.0,right,center
51,66,53,53,1.0,left,right
51,70,50,50,1.0,left,right
139,69,54,54,1.0,right,center
140,67,53,53,1.0,right,center
51,67,51,51,1.0,left,right
62,66,54,54,1.0,center,center
125,66,56,56,1.0,center,left
56,64,57,57,1.0,center,center
124,61,61,61,1.0,right,left
60,71,49,49,1.0,left,center
134,69,53,53,1.0,right,left
94,156,20,20,1.0,center,center
140,67,50,50,1.0,right,center
56,67,50,50,1.0,left,center
50,66,49,49,1.0,left,center
134,65,53,53,1.0,right,center
90,157,22,22,1.0,center,center
137,66,54,54,1.0,right,center
51,67,51,51,1.0,left,center
52,70,49,49,1.0,left,center
