x,y,w,h,eye_x,eye_y
557,135,288,288,650,244
557,135,288,288,758,246
555,134,293,293,646,244
555,134,293,293,760,245
555,134,293,293,668,249
556,134,290,290,758,245
556,134,290,290,651,244
556,134,290,290,616,245
555,134,291,291,659,244
555,134,291,291,631,244
555,134,291,291,759,245
555,134,291,291,712,240
554,139,285,285,718,246
554,139,285,285,756,243
554,139,285,285,639,243
548,127,299,299,756,243
548,127,299,299,723,242
548,127,299,299,654,243
548,127,299,299,629,245
550,130,296,296,751,244
550,130,296,296,637,244
544,131,300,300,752,245
544,131,300,300,642,244
544,131,300,300,608,248
546,136,296,296,608,247
546,136,296,296,750,245
546,136,296,296,709,247
546,136,296,296,645,243
546,134,293,293,612,246
546,134,293,293,751,246
546,134,293,293,648,245
546,134,293,293,625,243
546,134,293,293,653,241
547,136,290,290,607,247
547,136,290,290,710,240
547,136,290,290,641,244
547,136,290,290,748,246
545,135,291,291,748,246
545,135,291,291,649,243
545,135,291,291,622,246
541,133,295,295,610,248
541,133,295,295,708,245
541,133,295,295,746,246
541,133,295,295,636,246
542,136,293,293,746,246
542,136,293,293,636,244
542,135,293,293,606,247
542,135,293,293,635,245
542,135,293,293,747,246
542,135,293,293,702,250
545,139,290,290,746,245
545,139,290,290,628,245
543,136,296,296,618,246
543,136,296,296,714,244
543,136,296,296,748,246
543,136,296,296,648,244
543,136,296,296,624,242
544,136,290,290,748,246
544,136,290,290,643,245
544,136,290,290,604,244
544,136,290,290,660,246
540,134,302,302,654,252
546,139,287,287,748,251
547,142,284,284,704,243
547,142,284,284,656,247
547,142,284,284,750,248
548,141,288,288,749,245
548,141,288,288,690,407
548,141,288,288,635,246
548,141,288,288,655,247
547,133,296,296,752,246
547,133,296,296,706,245
547,133,296,296,652,247
547,133,296,296,634,245
550,138,291,291,753,247
550,138,291,291,654,246
550,138,291,291,702,248
550,138,291,291,636,249
546,131,300,300,754,247
546,131,300,300,634,244
546,131,300,300,655,247
546,131,300,300,701,252
546,134,298,298,754,247
546,134,298,298,704,246
546,134,298,298,637,245
546,134,298,298,655,248
548,134,298,298,751,246
548,134,298,298,633,247
548,134,298,298,655,248
552,137,290,290,705,259
552,137,290,290,752,246
552,137,290,290,707,245
552,137,290,290,657,248
552,137,290,290,634,247
548,134,295,295,753,248
548,134,295,295,649,247
553,138,293,293,754,247
553,138,293,293,658,248
553,138,293,293,638,249
552,135,298,298,758,247
552,135,298,298,709,246
552,135,298,298,654,246
555,136,298,298,664,247
560,130,296,296,763,246
560,130,296,296,663,247
560,130,296,296,647,243
561,134,291,291,645,243
561,134,291,291,766,246
563,131,295,295,647,241
563,131,295,295,766,243
565,136,289,289,768,243
565,136,289,289,674,243
565,136,289,289,728,234
565,136,289,289,651,241
564,129,297,297,646,241
564,129,297,297,768,243
564,133,293,293,768,243
564,133,293,293,652,242
564,133,293,293,734,238
564,135,293,293,647,240
564,135,293,293,766,243
564,135,293,293,735,253
564,131,295,295,767,244
564,131,295,295,653,242
565,133,293,293,767,244
565,133,293,293,654,242
562,134,293,293,767,245
562,134,293,293,653,242
565,134,293,293,769,245
565,134,293,293,653,243
565,134,293,293,725,250
564,133,293,293,766,246
564,133,293,293,647,243
564,133,295,295,767,246
564,133,295,295,654,244
566,135,291,291,653,246
566,135,291,291,768,246
563,132,295,295,649,245
563,132,295,295,766,247
564,131,295,295,728,249
564,131,295,295,674,244
564,131,295,295,655,246
564,131,295,295,765,247
564,131,295,295,623,247
564,131,295,295,724,249
564,131,295,295,767,247
564,131,295,295,624,247
564,131,295,295,654,245
564,132,297,297,651,245
564,132,297,297,768,247
563,130,297,297,731,251
563,130,297,297,649,246
563,130,297,297,769,247
563,130,299,299,651,245
563,130,299,299,736,249
563,130,299,299,768,247
564,129,297,297,769,247
564,129,297,297,651,245
563,130,297,297,728,244
563,130,297,297,651,245
563,130,297,297,768,247
563,133,297,297,766,247
563,133,297,297,654,245
563,133,297,297,670,241
563,133,297,297,652,245
563,133,297,297,768,247
566,132,293,293,768,248
566,132,293,293,674,247
566,132,293,293,666,245
566,132,293,293,771,248
570,134,295,295,770,247
570,134,295,295,737,249
570,134,295,295,672,248
570,134,295,295,652,248
570,134,295,295,673,249
567,136,298,298,675,250
574,140,295,295,662,252
574,140,295,295,781,252
574,140,295,295,684,251
580,142,293,293,662,251
580,142,293,293,782,251
580,142,293,293,695,251
571,138,299,299,664,250
571,138,299,299,758,249
571,138,299,299,782,251
580,142,293,293,782,250
580,142,293,293,664,249
