x,y,w,h,aspect_ratio,direction
526,62,301,301,1.0,right
526,62,301,301,1.0,right
526,58,308,308,1.0,right
522,60,309,309,1.0,right
522,54,314,314,1.0,right
522,54,314,314,1.0,left
521,51,316,316,1.0,left
521,51,316,316,1.0,right
524,58,306,306,1.0,right
525,59,303,303,1.0,right
528,57,302,302,1.0,right
528,57,302,302,1.0,left
519,51,316,316,1.0,right
519,51,316,316,1.0,left
524,61,303,303,1.0,right
524,61,303,303,1.0,left
524,61,303,303,1.0,left
530,62,296,296,1.0,right
522,57,308,308,1.0,right
523,57,306,306,1.0,left
523,57,306,306,1.0,right
523,57,306,306,1.0,right
528,58,302,302,1.0,right
526,61,302,302,1.0,right
526,61,302,302,1.0,left
530,64,296,296,1.0,right
530,64,296,296,1.0,left
526,59,303,303,1.0,right
526,58,303,303,1.0,right
525,55,308,308,1.0,right
525,55,308,308,1.0,left
523,54,310,310,1.0,right
526,60,303,303,1.0,right
520,52,316,316,1.0,right
520,52,316,316,1.0,left
521,58,308,308,1.0,right
523,63,306,306,1.0,right
521,55,310,310,1.0,right
521,55,310,310,1.0,left
521,55,310,310,1.0,left
520,58,308,308,1.0,right
520,58,308,308,1.0,left
521,53,314,314,1.0,left
521,53,314,314,1.0,right
516,48,323,323,1.0,left
516,48,323,323,1.0,left
516,48,323,323,1.0,right
523,57,308,308,1.0,right
528,64,298,298,1.0,left
528,64,298,298,1.0,right
526,66,301,301,1.0,right
526,66,301,301,1.0,left
523,56,306,306,1.0,right
523,56,306,306,1.0,left
523,56,306,306,1.0,left
530,63,296,296,1.0,right
530,63,296,296,1.0,left
520,51,316,316,1.0,right
531,64,293,293,1.0,right
523,61,303,303,1.0,right
518,55,314,314,1.0,right
522,59,306,306,1.0,right
522,59,306,306,1.0,left
524,62,299,299,1.0,right
524,62,299,299,1.0,left
524,62,299,299,1.0,right
524,62,299,299,1.0,left
522,61,303,303,1.0,right
525,62,299,299,1.0,right
525,62,299,299,1.0,left
528,68,290,290,1.0,right
528,68,290,290,1.0,right
528,68,290,290,1.0,left
527,65,296,296,1.0,right
525,68,296,296,1.0,right
525,68,296,296,1.0,left
525,68,296,296,1.0,right
525,68,296,296,1.0,left
525,68,296,296,1.0,left
524,64,299,299,1.0,left
524,64,299,299,1.0,right
527,68,293,293,1.0,right
527,68,293,293,1.0,left
525,65,298,298,1.0,left
525,65,298,298,1.0,right
527,63,296,296,1.0,right
527,63,296,296,1.0,left
528,66,293,293,1.0,right
528,66,293,293,1.0,left
526,65,296,296,1.0,right
523,60,303,303,1.0,right
523,60,303,303,1.0,right
523,60,303,303,1.0,left
523,63,302,302,1.0,left
523,63,302,302,1.0,right
523,63,302,302,1.0,left
526,63,296,296,1.0,right
526,63,296,296,1.0,left
521,62,303,303,1.0,right
520,59,308,308,1.0,right
519,60,310,310,1.0,right
523,61,303,303,1.0,right
523,61,303,303,1.0,left
524,64,299,299,1.0,left
524,64,299,299,1.0,right
524,64,299,299,1.0,right
525,66,296,296,1.0,right
524,62,299,299,1.0,right
523,62,302,302,1.0,right
524,62,302,302,1.0,right
522,60,306,306,1.0,right
528,69,293,293,1.0,right
525,66,296,296,1.0,left
521,66,303,303,1.0,right
