x,y,w,h,eye_x,eye_y
540,324,180,180,664,401
540,324,180,180,602,392
541,322,178,178,665,402
541,322,178,178,600,394
540,324,179,179,664,401
540,324,179,179,603,391
539,323,181,181,665,400
539,323,181,181,598,395
539,323,181,181,671,393
541,324,180,180,600,395
541,324,180,180,663,402
541,324,180,180,670,388
539,322,183,183,665,402
539,322,183,183,601,396
539,322,183,183,671,391
539,324,180,180,595,397
539,324,180,180,663,401
539,324,180,180,607,394
539,324,180,180,671,400
538,323,182,182,666,401
538,323,182,182,605,391
539,323,181,181,665,402
539,323,181,181,601,396
539,323,181,181,672,391
539,324,181,181,666,402
539,324,181,181,599,394
539,324,181,181,674,392
542,325,177,177,666,402
542,325,177,177,600,398
542,325,177,177,670,398
538,320,185,185,663,401
538,320,185,185,602,395
538,320,185,185,672,394
537,321,188,188,664,402
537,321,188,188,670,395
538,322,185,185,661,402
538,322,185,185,593,398
537,322,185,185,663,402
537,322,185,185,593,401
538,322,184,184,662,403
538,322,184,184,593,400
538,323,183,183,661,403
538,323,183,183,593,399
538,322,183,183,661,401
538,322,183,183,592,401
539,326,178,178,663,403
539,326,178,178,593,400
538,322,183,183,662,401
538,322,183,183,592,401
539,326,178,178,663,402
539,326,178,178,593,401
541,328,175,175,662,402
541,328,175,175,590,400
538,326,180,180,662,402
538,326,180,180,592,401
538,326,179,179,664,403
538,326,179,179,594,402
540,326,178,178,664,402
540,326,178,178,593,399
542,329,172,172,589,399
542,329,172,172,660,402
542,329,172,172,661,402
542,329,172,172,590,401
542,329,172,172,592,391
540,329,175,175,660,402
540,329,175,175,590,402
541,329,174,174,659,401
541,329,174,174,588,399
538,330,174,174,658,401
538,330,174,174,589,399
539,329,174,174,658,401
539,329,174,174,587,401
539,329,174,174,591,390
539,328,175,175,656,400
539,328,175,175,589,399
538,328,174,174,657,401
538,328,174,174,588,400
538,328,174,174,590,393
538,330,172,172,658,402
538,330,172,172,589,400
538,327,176,176,656,401
538,327,176,176,588,400
537,328,176,176,658,401
537,328,176,176,588,398
537,327,176,176,657,401
537,327,176,176,587,398
537,329,174,174,657,401
537,329,174,174,587,401
537,329,174,174,586,394
538,327,177,177,658,401
538,327,177,177,587,400
540,331,172,172,657,401
540,331,172,172,588,399
540,331,172,172,606,393
539,331,174,174,658,402
539,331,174,174,589,400
540,332,171,171,658,402
540,332,171,171,590,399
539,331,174,174,657,401
539,331,174,174,587,401
540,331,174,174,658,402
540,331,174,174,587,388
540,331,174,174,589,401
539,329,176,176,658,402
539,329,176,176,589,401
538,328,177,177,659,402
538,328,177,177,589,400
541,332,171,171,589,400
541,332,171,171,659,402
541,330,174,174,658,402
