x,y,w,h,aspect_ratio,direction
483,115,312,312,1.0,right
476,124,297,297,1.0,right
460,125,306,306,1.0,right
455,123,318,318,1.0,center
467,118,312,312,1.0,right
473,121,307,307,1.0,center
473,121,307,307,1.0,right
473,121,307,307,1.0,center
488,116,313,313,1.0,right
530,114,318,318,1.0,right
540,107,325,325,1.0,right
568,118,309,309,1.0,center
568,118,309,309,1.0,right
573,110,320,320,1.0,left
573,110,320,320,1.0,center
573,110,320,320,1.0,right
580,118,313,313,1.0,left
580,118,313,313,1.0,right
576,106,331,331,1.0,left
576,106,331,331,1.0,center
574,109,331,331,1.0,left
574,109,331,331,1.0,right
578,110,331,331,1.0,left
578,110,331,331,1.0,right
579,107,331,331,1.0,left
579,107,331,331,1.0,right
579,107,331,331,1.0,center
574,108,331,331,1.0,right
574,108,331,331,1.0,left
581,114,320,320,1.0,right
581,114,320,320,1.0,left
578,114,317,317,1.0,right
578,114,317,317,1.0,left
578,118,310,310,1.0,left
578,118,310,310,1.0,right
577,115,316,316,1.0,left
577,115,316,316,1.0,right
582,114,316,316,1.0,left
582,114,316,316,1.0,right
571,114,319,319,1.0,right
571,114,319,319,1.0,left
566,115,323,323,1.0,right
551,110,331,331,1.0,right
551,110,331,331,1.0,left
524,110,331,331,1.0,right
526,109,331,331,1.0,right
526,109,331,331,1.0,left
522,109,331,331,1.0,right
522,109,331,331,1.0,left
530,109,331,331,1.0,right
530,109,331,331,1.0,left
525,112,331,331,1.0,left
525,112,331,331,1.0,right
525,112,331,331,1.0,right
525,112,331,331,1.0,left
534,113,326,326,1.0,left
534,113,326,326,1.0,left
534,113,326,326,1.0,right
531,113,331,331,1.0,right
531,113,331,331,1.0,left
531,112,331,331,1.0,left
531,112,331,331,1.0,right
532,111,331,331,1.0,right
532,111,331,331,1.0,left
535,116,325,325,1.0,right
535,116,325,325,1.0,left
536,114,313,313,1.0,right
536,114,313,313,1.0,left
528,102,326,326,1.0,right
528,102,326,326,1.0,left
528,102,326,326,1.0,center
524,97,331,331,1.0,right
524,97,331,331,1.0,center
522,101,325,325,1.0,right
522,101,325,325,1.0,left
531,102,310,310,1.0,right
531,102,310,310,1.0,left
531,102,310,310,1.0,center
506,94,331,331,1.0,right
512,104,319,319,1.0,right
515,107,312,312,1.0,right
515,107,312,312,1.0,left
517,107,306,306,1.0,right
517,107,306,306,1.0,left
520,120,290,290,1.0,right
520,120,290,290,1.0,left
517,121,289,289,1.0,right
512,121,293,293,1.0,right
516,127,280,280,1.0,right
516,127,280,280,1.0,left
516,129,273,273,1.0,right
516,129,273,273,1.0,left
504,120,286,286,1.0,right
504,120,286,286,1.0,left
501,122,285,285,1.0,center
501,122,285,285,1.0,left
503,127,273,273,1.0,right
503,127,273,273,1.0,center
503,127,273,273,1.0,left
503,127,273,273,1.0,center
427,75,84,84,1.0,center
501,127,273,273,1.0,right
501,127,273,273,1.0,left
495,128,277,277,1.0,right
492,121,284,284,1.0,center
489,123,280,280,1.0,right
475,120,290,290,1.0,center
476,122,284,284,1.0,right
479,126,274,274,1.0,right
473,123,278,278,1.0,center
462,119,284,284,1.0,center
462,122,277,277,1.0,left
457,121,280,280,1.0,center
457,121,280,280,1.0,left
464,124,264,264,1.0,center
464,124,264,264,1.0,left
447,110,284,284,1.0,center
446,115,280,280,1.0,right
446,117,278,278,1.0,right
443,116,284,284,1.0,right
443,116,284,284,1.0,left
